ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-17 09:33:00,6.02,6.04,6.04,6.02,93300.0,562556.0
002022.SZ,2026-03-17 09:34:00,6.03,6.04,6.04,6.02,29300.0,176866.0
002022.SZ,2026-03-17 09:35:00,6.03,6.02,6.03,6.02,17000.0,102439.0
002022.SZ,2026-03-17 09:36:00,6.05,6.04,6.05,6.03,170800.0,1031641.0
002022.SZ,2026-03-17 09:37:00,6.04,6.05,6.05,6.04,31100.0,187872.0
002022.SZ,2026-03-17 09:38:00,6.04,6.05,6.05,6.04,11100.0,67055.0
002022.SZ,2026-03-17 09:39:00,6.03,6.04,6.04,6.03,22200.0,133867.0
002022.SZ,2026-03-17 09:40:00,6.03,6.03,6.04,6.03,13900.0,83896.0
002022.SZ,2026-03-17 09:41:00,6.05,6.03,6.06,6.03,356200.0,2153353.0
002022.SZ,2026-03-17 09:42:00,6.05,6.05,6.06,6.05,31200.0,188777.0
002022.SZ,2026-03-17 09:43:00,6.06,6.05,6.06,6.04,18900.0,114334.0
002022.SZ,2026-03-17 09:44:00,6.05,6.05,6.05,6.04,37900.0,229274.0
002022.SZ,2026-03-17 09:45:00,6.04,6.05,6.05,6.04,44900.0,271589.0
002022.SZ,2026-03-17 09:46:00,6.04,6.04,6.05,6.04,21300.0,128745.0
002022.SZ,2026-03-17 09:47:00,6.04,6.05,6.05,6.04,8800.0,53172.0
002022.SZ,2026-03-17 09:48:00,6.03,6.04,6.04,6.03,51100.0,308596.0
002022.SZ,2026-03-17 09:49:00,6.05,6.03,6.05,6.03,17100.0,103187.0
002022.SZ,2026-03-17 09:50:00,6.04,6.05,6.05,6.04,29500.0,178461.0
002022.SZ,2026-03-17 09:51:00,6.04,6.04,6.05,6.04,18100.0,109340.0
002022.SZ,2026-03-17 09:52:00,6.06,6.05,6.06,6.04,62400.0,377523.0
002022.SZ,2026-03-17 09:53:00,6.05,6.05,6.06,6.05,57800.0,350064.0
002022.SZ,2026-03-17 09:54:00,6.06,6.05,6.06,6.05,173400.0,1050518.0
002022.SZ,2026-03-17 09:55:00,6.06,6.06,6.07,6.05,63000.0,381493.0
002022.SZ,2026-03-17 09:56:00,6.07,6.06,6.07,6.05,16300.0,98847.0
002022.SZ,2026-03-17 09:57:00,6.06,6.07,6.07,6.06,35200.0,213333.0
002022.SZ,2026-03-17 09:58:00,6.06,6.06,6.06,6.06,7600.0,46056.0
002022.SZ,2026-03-17 09:59:00,6.06,6.06,6.06,6.06,3300.0,19998.0
002022.SZ,2026-03-17 10:00:00,6.06,6.06,6.06,6.05,52600.0,318446.0
002022.SZ,2026-03-17 10:01:00,6.07,6.06,6.07,6.05,75900.0,459930.0
002022.SZ,2026-03-17 10:02:00,6.07,6.07,6.07,6.07,2300.0,13961.0
002022.SZ,2026-03-17 10:03:00,6.07,6.07,6.07,6.06,39700.0,240683.0
002022.SZ,2026-03-17 10:04:00,6.07,6.07,6.07,6.06,18200.0,110452.0
002022.SZ,2026-03-17 10:05:00,6.07,6.06,6.07,6.06,5500.0,33363.0
002022.SZ,2026-03-17 10:06:00,6.07,6.07,6.07,6.06,14300.0,86791.0
002022.SZ,2026-03-17 10:07:00,6.07,6.07,6.07,6.06,10000.0,60615.0
002022.SZ,2026-03-17 10:08:00,6.07,6.07,6.07,6.07,3400.0,20634.0
002022.SZ,2026-03-17 10:09:00,6.07,6.07,6.07,6.06,8800.0,53411.0
002022.SZ,2026-03-17 10:10:00,6.07,6.07,6.07,6.06,4900.0,29730.0
002022.SZ,2026-03-17 10:11:00,6.07,6.06,6.07,6.06,3900.0,23660.0
002022.SZ,2026-03-17 10:12:00,6.06,6.06,6.06,6.06,20000.0,121200.0
002022.SZ,2026-03-17 10:13:00,6.07,6.06,6.07,6.06,14800.0,89701.0
002022.SZ,2026-03-17 10:14:00,6.07,6.07,6.07,6.06,73300.0,444345.0
002022.SZ,2026-03-17 10:15:00,6.06,6.07,6.07,6.06,26200.0,158816.0
002022.SZ,2026-03-17 10:16:00,6.06,6.07,6.07,6.06,18900.0,114548.0
002022.SZ,2026-03-17 10:17:00,6.06,6.07,6.07,6.06,6800.0,41215.0
002022.SZ,2026-03-17 10:18:00,6.06,6.07,6.07,6.06,39500.0,239384.0
002022.SZ,2026-03-17 10:19:00,6.06,6.07,6.07,6.06,18100.0,109816.0
002022.SZ,2026-03-17 10:20:00,6.06,6.07,6.07,6.06,18000.0,109082.0
002022.SZ,2026-03-17 10:21:00,6.07,6.07,6.07,6.06,8200.0,49713.0
002022.SZ,2026-03-17 10:22:00,6.07,6.07,6.07,6.07,9400.0,57018.0
002022.SZ,2026-03-17 10:23:00,6.07,6.07,6.07,6.07,5600.0,33992.0
002022.SZ,2026-03-17 10:24:00,6.07,6.06,6.07,6.06,11100.0,67355.0
